iter	Passed	Remaining
987	29632	30351
988	29660	30320
989	29688	30287
990	29714	30254
991	29741	30221
992	29768	30188
993	29796	30156
994	29825	30125
995	29852	30092
996	29879	30059
997	29906	30026
998	29937	29997
999	29965	29965
1000	29991	29931
1001	30018	29898
1002	30044	29864
1003	30072	29832
1004	30098	29798
1005	30125	29766
1006	30152	29733
1007	30178	29699
1008	30209	29670
1009	30238	29639
1010	30267	29608
1011	30291	29573
1012	30318	29540
1013	30348	29510
1014	30377	29479
1015	30403	29446
1016	30431	29414
1017	30458	29381
1018	30484	29347
1019	30513	29316
1020	30539	29282
1021	30566	29250
1022	30592	29216
1023	30618	29183
1024	30645	29150
1025	30671	29116
1026	30698	29084
1027	30728	29054
1028	30756	29022
1029	30782	28989
1030	30809	28956
1031	30836	28924
1032	30865	28893
1033	30893	28861
1034	30922	28831
1035	30950	28799
1036	30976	28765
1037	31005	28734
1038	31030	28701
1039	31058	28668
1040	31083	28634
1041	31110	28602
1042	31136	28569
1043	31164	28537
1044	31189	28503
1045	31215	28469
1046	31253	28447
1047	31288	28422
1048	31323	28397
1049	31362	28375
1050	31398	28351
1051	31434	28327
1052	31469	28301
1053	31505	28277
1054	31539	28251
1055	31575	28226
1056	31606	28197
1057	31642	28173
1058	31679	28149
1059	31713	28123
1060	31743	28093
1061	31771	28061
1062	31799	28030
1063	31827	27998
1064	31854	27966
1065	31882	27934
1066	31910	27902
1067	31937	27870
1068	31965	27839
1069	31992	27806
1070	32018	27773
1071	32047	27742
1072	32075	27711
1073	32102	27678
1074	32130	27647
1075	32158	27615
1076	32185	27582
1077	32211	27550
1078	32238	27517
1079	32265	27485
1080	32290	27451
1081	32316	27417
1082	32345	27387
1083	32370	27353
1084	32401	27324
1085	32430	27294
1086	32456	27260
1087	32482	27228
1088	32511	27197
1089	32539	27165
1090	32566	27133
1091	32592	27101
1092	32620	27069
1093	32646	27036
1094	32673	27003
1095	32700	26971
1096	32726	26939
1097	32753	26907
1098	32780	26874
1099	32806	26841
1100	32834	26810
1101	32862	26779
1102	32893	26749
1103	32919	26717
1104	32946	26685
1105	32973	26653
1106	32999	26620
1107	33026	26588
1108	33053	26556
1109	33079	26523
1110	33106	26491
1111	33132	26458
1112	33158	26425
1113	33184	26393
1114	33212	26361
1115	33241	26330
1116	33267	26298
1117	33296	26267
1118	33325	26237
1119	33352	26205
1120	33378	26172
1121	33407	26142
1122	33434	26110
1123	33462	26079
1124	33491	26048
1125	33518	26017
1126	33547	25986
1127	33572	25953
1128	33601	25922
1129	33628	25890
1130	33657	25860
1131	33684	25828
1132	33713	25798
1133	33759	25781
1134	33802	25761
1135	33846	25742
1136	33889	25722
1137	33925	25697
1138	33961	25672
1139	33989	25641
1140	34017	25610
1141	34045	25578
1142	34074	25548
1143	34101	25516
1144	34128	25484
1145	34156	25453
1146	34183	25421
1147	34211	25390
1148	34238	25358
1149	34265	25326
1150	34292	25294
1151	34320	25263
1152	34348	25232
1153	34375	25200
1154	34405	25170
1155	34433	25140
1156	34461	25108
1157	34496	25083
1158	34538	25061
1159	34577	25038
1160	34619	25017
1161	34658	24994
1162	34693	24968
1163	34724	24939
1164	34750	24907
1165	34777	24875
1166	34804	24843
1167	34832	24811
1168	34857	24778
1169	34883	24746
